date,symbol,usable_ohlcv,broad_gate,smh_ma50,above_ma20,above_ma50,breakout_prior_high20,rs20_at_least_3pct,volume_ratio_at_least_1_2,extension_0_to_12pct,event_cooldown_clear,atr_at_most_4pct,close_location_at_least_50pct,final_rsr1,extension,atr_pct,close_location,rs20,volume_ratio
2026-08-20,COHR,True,True,False,False,False,False,False,False,False,True,False,True,False,-0.04627396248206095,0.12902358014705279,0.8888888888888888,-0.04383945054288574,0.6527733955788028
2026-08-20,LITE,True,True,False,True,True,False,True,False,True,True,False,True,False,0.08269251029289304,0.09896505026017306,0.9611073068741041,0.08494584415234585,0.7945457145500887
2026-08-20,AAOI,True,True,False,True,False,False,True,False,True,True,False,True,False,0.07561825220243512,0.13816587169116712,0.8830951581927393,0.18267083649409344,0.7330308296697507
2026-08-20,MXL,True,True,False,False,False,False,False,False,False,True,False,False,False,-0.06824719487795017,0.10826354135744322,0.13461044902149402,-0.2543263533084372,0.5412586196743102
2026-08-20,AXTI,True,True,False,True,True,False,True,False,True,True,False,True,False,0.07648938560035945,0.15732444355274525,0.708732916705003,0.41164521308613145,0.5737670010310285
2026-08-20,CRDO,True,True,False,False,False,False,False,False,False,True,False,False,False,-0.0021447063181035952,0.09898912185791398,0.4808524711202691,0.008422102040117285,0.6261617603717327
2026-08-20,SMCI,True,True,False,True,True,False,True,False,False,True,False,False,False,0.12343988229158898,0.0702896267467282,0.29068999131486223,0.20006974101722608,0.8953833707701719
2026-08-20,ORCL,True,True,False,True,False,False,True,False,True,True,False,False,False,0.020485909099943855,0.049160880952636675,0.21516501727561246,0.21372018602103382,0.4849496807257548
2026-08-20,META,True,True,False,False,False,False,False,False,False,True,True,True,False,-0.056879543828093015,0.035131008385874074,0.6106042938473146,-0.06924099723857058,0.7987075688324943
2026-08-20,TER,True,True,False,True,False,False,True,False,True,True,False,True,False,0.012576920501987665,0.07076863256021795,0.7866462747706463,0.055348460094289065,0.5487410757142523
2026-08-20,ASML,True,True,False,True,False,False,False,False,True,True,True,False,False,0.01399467151653444,0.035330474969657195,0.2669557073252865,0.0022300228075239348,0.5189329122524472
2026-08-20,AMAT,True,True,False,False,False,False,False,False,False,True,False,True,False,-0.03744853996484532,0.0556892152604099,0.7042675729377742,-0.08717830041218189,0.8240933893762898
2026-08-20,KLAC,True,True,False,False,False,False,False,False,False,True,False,False,False,-0.04320737042551792,0.053678629952617164,0.2723489030162338,-0.11911823184053716,0.6165445919776604
2026-08-20,LRCX,True,True,False,True,False,False,False,False,True,True,False,True,False,0.009991614063096899,0.056882021988812884,0.7904055752677052,0.0012718379231102528,0.628724462312766
2026-08-20,TSLA,True,True,False,True,False,False,True,False,True,True,True,True,False,0.05981721999391709,0.03186585180688222,0.7233311032481727,0.1097750720878381,0.7769029871950596
2026-08-20,QCOM,True,True,False,False,False,False,False,False,False,True,True,False,False,-0.0010937017483737543,0.038642700938200276,0.13690542868474512,-0.030406286133440763,0.7440937302843602
2026-08-20,NVDA,True,True,False,True,True,False,True,False,True,True,True,False,False,0.019111003422812356,0.029039154999558024,0.2833341204936547,0.0689506659268615,0.7799186723735897
2026-08-20,AMD,True,True,False,False,False,False,False,False,False,True,False,True,False,-0.029149538496896388,0.052930657014937536,0.5958111675126904,-0.09994157860480446,0.5449796656870907
2026-08-20,INTC,True,True,False,False,False,False,False,False,False,True,False,True,False,-0.03842442512165456,0.06429579536484725,0.8056527576334285,-0.050616210942654005,0.7016953552024856
2026-08-20,GLW,True,True,False,False,False,False,False,False,False,True,False,False,False,-0.005440704221498893,0.07111730738205448,0.45738005507125,0.0006580498360151399,0.7688249119751913
2026-08-20,NOK,True,True,False,True,False,False,True,False,True,True,False,True,False,0.05039838626817916,0.05256861750721681,0.6666659097824218,0.07336345225031837,0.8025212460998542
2026-08-20,TTMI,True,True,False,False,False,False,False,False,False,True,False,False,False,-0.09602468479643278,0.09962408083808043,0.26530548693142486,-0.18015761769613936,0.5490587539402652
2026-08-20,CEG,True,True,False,True,True,False,False,False,True,True,True,False,False,0.010968114769504433,0.038656201028269076,0.2683116825635692,0.02199602288383251,0.7729581148576495
