Date,SPG
2003-04-04,12.840180397033691
2003-04-07,12.909868240356445
2003-04-08,12.847145080566406
2003-04-09,12.885479927062988
2003-04-10,12.784429550170898
2003-04-11,12.798369407653809
2003-04-14,12.937746047973633
2003-04-15,12.920326232910156
2003-04-16,12.9342622756958
2003-04-17,13.024858474731445
2003-04-21,13.031829833984375
2003-04-22,13.233925819396973
2003-04-23,13.223468780517578
2003-04-24,13.00743579864502
2003-04-25,12.902894020080566
2003-04-28,12.84366512298584
2003-04-29,12.962138175964355
2003-04-30,12.794885635375977
2003-05-01,12.899412155151367
2003-05-02,12.909868240356445
2003-05-05,13.066662788391113
2003-05-06,13.240890502929688
2003-05-07,13.254827499389648
2003-05-08,13.411630630493164
2003-05-09,13.606759071350098
2003-05-12,13.606759071350098
2003-05-13,13.582368850708008
2003-05-14,13.465588569641113
2003-05-15,13.451433181762695
2003-05-16,13.47266674041748
2003-05-19,13.44434928894043
2003-05-20,13.63899040222168
2003-05-21,13.631911277770996
2003-05-22,13.762853622436523
2003-05-23,13.826557159423828
2003-05-27,13.766395568847656
2003-05-28,13.476203918457031
2003-05-29,13.093997955322266
2003-05-30,13.313408851623535
2003-06-02,13.419583320617676
2003-06-03,13.589447021484375
2003-06-04,13.677922248840332
2003-06-05,13.617759704589844
2003-06-06,13.784090995788574
2003-06-09,13.667304039001465
2003-06-10,13.961036682128906
2003-06-11,14.127363204956055
2003-06-12,13.971656799316406
2003-06-13,13.752241134643555
2003-06-16,13.890262603759766
2003-06-17,13.769930839538574
2003-06-18,13.837172508239746
2003-06-19,13.748696327209473
2003-06-20,13.759316444396973
2003-06-23,13.624835014343262
2003-06-24,13.663763046264648
2003-06-25,13.745159149169922
2003-06-26,13.968107223510742
2003-06-27,13.943336486816406
2003-06-30,13.81240463256836
2003-07-01,13.961036682128906
2003-07-02,14.19106674194336
2003-07-03,14.297224044799805
2003-07-07,14.428169250488281
2003-07-08,14.42109489440918
2003-07-09,14.290153503417969
2003-07-10,14.060121536254883
2003-07-11,14.261841773986816
2003-07-14,14.371541976928711
2003-07-15,14.52725887298584
2003-07-16,14.332620620727539
2003-07-17,14.229996681213379
2003-07-18,14.41755485534668
2003-07-21,14.353854179382324
2003-07-22,14.403399467468262
2003-07-23,14.31138801574707
2003-07-24,14.52725887298584
2003-07-25,14.771442413330078
2003-07-28,14.513110160827637
2003-07-29,14.711285591125488
2003-07-30,14.93423843383789
2003-07-31,14.987319946289062
2003-08-01,14.99439811706543
2003-08-04,15.022713661193848
2003-08-05,14.962547302246094
2003-08-06,14.997929573059082
2003-08-07,15.09349536895752
2003-08-08,15.086408615112305
2003-08-11,15.036864280700684
2003-08-12,15.040400505065918
2003-08-13,15.011687278747559
2003-08-14,15.219881057739258
2003-08-15,15.05835247039795
2003-08-18,15.23423957824707
2003-08-19,15.209120750427246
2003-08-20,15.446027755737305
2003-08-21,15.381417274475098
2003-08-22,15.126555442810059
2003-08-25,14.993732452392578
2003-08-26,15.10142993927002
2003-08-27,15.248595237731934
2003-08-28,15.23423957824707
2003-08-29,15.33116626739502
2003-09-02,15.463973999023438
2003-09-03,15.607559204101562
2003-09-04,15.650633811950684
2003-09-05,15.686525344848633
2003-09-08,15.729604721069336
2003-09-09,15.711661338806152
2003-09-10,15.442440032958984
2003-09-11,15.564482688903809
2003-09-12,15.611149787902832
2003-09-15,15.636282920837402
2003-09-16,15.525002479553223
2003-09-17,15.313211441040039
2003-09-18,15.270140647888184
2003-09-19,15.428083419799805
2003-09-22,15.34552001953125
2003-09-23,15.489106178283691
2003-09-24,15.309625625610352
2003-09-25,15.341934204101562
2003-09-26,15.428083419799805
2003-09-29,15.58961296081543
2003-09-30,15.643455505371094
2003-10-01,15.812166213989258
2003-10-02,16.045494079589844
2003-10-03,16.257282257080078
2003-10-06,16.458295822143555
2003-10-07,16.22856330871582
2003-10-08,16.253679275512695
2003-10-09,16.3936767578125
