Date,AIG
2008-02-25,617.1322021484375
2008-02-26,629.8719482421875
2008-02-27,640.038818359375
2008-02-28,614.31494140625
2008-02-29,574.0139770507812
2008-03-03,571.9314575195312
2008-03-04,561.39697265625
2008-03-05,548.8477172851562
2008-03-06,527.5629272460938
2008-03-07,527.5629272460938
2008-03-10,516.120849609375
2008-03-11,541.3424682617188
2008-03-12,537.036376953125
2008-03-13,522.6416015625
2008-03-14,506.6473693847656
2008-03-17,489.6689147949219
2008-03-18,537.2826538085938
2008-03-19,518.95068359375
2008-03-20,553.7687377929688
2008-03-24,567.3021850585938
2008-03-25,563.6116333007812
2008-03-26,542.0806274414062
2008-03-27,534.69873046875
2008-03-28,526.5786743164062
2008-03-31,532.114990234375
2008-04-01,578.2521362304688
2008-04-02,576.6528930664062
2008-04-03,578.1292114257812
2008-04-04,581.9432373046875
2008-04-07,591.047607421875
2008-04-08,575.1763305664062
2008-04-09,560.5358276367188
2008-04-10,560.5358276367188
2008-04-11,541.9577026367188
2008-04-14,532.607177734375
2008-04-15,542.696044921875
2008-04-16,559.4281616210938
2008-04-17,568.0407104492188
2008-04-18,593.3850708007812
2008-04-21,572.5928344726562
2008-04-22,556.9674682617188
2008-04-23,539.6199951171875
2008-04-24,577.883056640625
2008-04-25,584.77294921875
2008-04-28,578.7442626953125
2008-04-29,578.2521362304688
2008-04-30,568.4097900390625
2008-05-01,592.4009399414062
2008-05-02,603.3510131835938
2008-05-05,583.050537109375
2008-05-06,595.476806640625
2008-05-07,554.6298828125
2008-05-08,543.18798828125
2008-05-09,495.5743408203125
2008-05-12,472.0753479003906
2008-05-13,481.7947998046875
2008-05-14,485.2395324707031
2008-05-15,486.8390808105469
2008-05-16,484.00927734375
2008-05-19,479.2113037109375
2008-05-20,468.99951171875
2008-05-21,454.72772216796875
2008-05-22,465.1853942871094
2008-05-23,454.60467529296875
2008-05-27,450.54449462890625
2008-05-28,429.50616455078125
2008-05-29,434.7964172363281
2008-05-30,442.9166259765625
2008-06-02,441.3171691894531
