Date,CIEN
2010-03-30,15.260000228881836
2010-03-31,15.260000228881836
2010-04-01,15.079999923706055
2010-04-05,15.430000305175781
2010-04-06,16.1299991607666
2010-04-07,16.290000915527344
2010-04-08,15.989999771118164
2010-04-09,16.260000228881836
2010-04-12,17.489999771118164
2010-04-13,18.059999465942383
2010-04-14,18.59000015258789
2010-04-15,18.06999969482422
2010-04-16,17.639999389648438
2010-04-19,17.34000015258789
2010-04-20,18.229999542236328
2010-04-21,17.75
2010-04-22,17.479999542236328
2010-04-23,18.139999389648438
2010-04-26,18.020000457763672
2010-04-27,17.56999969482422
2010-04-28,18.139999389648438
2010-04-29,18.299999237060547
2010-04-30,18.530000686645508
2010-05-03,19.239999771118164
2010-05-04,18.350000381469727
2010-05-05,17.920000076293945
2010-05-06,16.959999084472656
2010-05-07,16.100000381469727
2010-05-10,16.610000610351562
2010-05-11,16.850000381469727
2010-05-12,17.299999237060547
2010-05-13,17.010000228881836
2010-05-14,16.43000030517578
2010-05-17,16.700000762939453
2010-05-18,16.200000762939453
2010-05-19,15.65999984741211
2010-05-20,15.010000228881836
2010-05-21,15.619999885559082
2010-05-24,15.460000038146973
2010-05-25,15.609999656677246
2010-05-26,15.430000305175781
2010-05-27,16.09000015258789
2010-05-28,15.569999694824219
2010-06-01,14.869999885559082
2010-06-02,15.289999961853027
2010-06-03,15.369999885559082
2010-06-04,14.529999732971191
2010-06-07,13.949999809265137
2010-06-08,13.84000015258789
2010-06-09,13.949999809265137
2010-06-10,14.15999984741211
2010-06-11,14.380000114440918
2010-06-14,14.260000228881836
2010-06-15,14.619999885559082
2010-06-16,14.779999732971191
2010-06-17,14.600000381469727
2010-06-18,14.569999694824219
2010-06-21,14.5600004196167
2010-06-22,14.1899995803833
2010-06-23,14.210000038146973
2010-06-24,13.890000343322754
2010-06-25,13.699999809265137
2010-06-28,13.470000267028809
2010-06-29,13.020000457763672
2010-06-30,12.680000305175781
2010-07-01,12.739999771118164
2010-07-02,12.489999771118164
2010-07-06,12.40999984741211
2010-07-07,13.050000190734863
2010-07-08,12.850000381469727
2010-07-09,12.720000267028809
2010-07-12,12.770000457763672
2010-07-13,13.319999694824219
2010-07-14,13.779999732971191
2010-07-15,13.430000305175781
2010-07-16,12.800000190734863
2010-07-19,12.529999732971191
2010-07-20,12.609999656677246
2010-07-21,12.289999961853027
2010-07-22,12.949999809265137
2010-07-23,13.460000038146973
2010-07-26,13.899999618530273
2010-07-27,13.470000267028809
2010-07-28,13.1899995803833
2010-07-29,13.100000381469727
2010-07-30,13.09000015258789
2010-08-02,13.300000190734863
2010-08-03,13.170000076293945
2010-08-04,13.520000457763672
2010-08-05,13.25
2010-08-06,13.430000305175781
2010-08-09,13.720000267028809
2010-08-10,13.460000038146973
2010-08-11,12.960000038146973
2010-08-12,12.390000343322754
2010-08-13,12.1899995803833
2010-08-16,12.020000457763672
